id,censored,time,how_end,sex,race,age,education,parent
3778,FALSE,1.25,Legally Separated,Female,White or Other,19.333333333333332,Less than high school,FALSE
3779,FALSE,15.25,Divorced,Female,White or Other,24.833333333333332,High school,TRUE
3782,TRUE,11.083333333333334,Censored,Female,White or Other,30,High school,FALSE
3783,TRUE,1.0833333333333333,Censored,Male,Black,32.166666666666664,High school,FALSE
3786,TRUE,1.25,Censored,Female,White or Other,29,College,FALSE
3789,FALSE,0.5,Legally Separated,Female,Black,37.5,College,FALSE
3791,FALSE,8.25,Divorced,Female,Black,29.916666666666668,College,TRUE
3792,TRUE,5.833333333333333,Censored,Male,Black,35.25,High school,TRUE
3800,FALSE,2.3333333333333335,Divorced,Male,Hispanic,34.75,College,FALSE
3803,FALSE,3,Divorced,Female,White or Other,19.583333333333332,High school,FALSE
3807,TRUE,0.5833333333333334,Censored,Female,Black,40.666666666666664,College,FALSE
3808,FALSE,1.1666666666666667,Divorced,Male,Black,27.583333333333332,High school,FALSE
3811,FALSE,0.16666666666666666,Legally Separated,Male,Hispanic,21.166666666666668,Less than high school,TRUE
3814,TRUE,11,Censored,Male,White or Other,30.166666666666668,High school,FALSE
3815,TRUE,1.1666666666666667,Censored,Female,Hispanic,40.166666666666664,High school,TRUE
3819,TRUE,13.666666666666666,Censored,Female,White or Other,19.833333333333332,High school,TRUE
3822,FALSE,0.08333333333333333,Legally Separated,Female,White or Other,27.416666666666668,College,FALSE
3823,FALSE,5.083333333333333,Divorced,Female,White or Other,29.333333333333332,High school,FALSE
3824,FALSE,11.166666666666666,Divorced,Female,White or Other,17,Less than high school,FALSE
3825,FALSE,0.8333333333333334,Legally Separated,Female,White or Other,21.166666666666668,High school,FALSE
3827,TRUE,4.25,Censored,Male,Black,36.666666666666664,High school,TRUE
3828,FALSE,10.166666666666666,Legally Separated,Female,White or Other,19,Less than high school,TRUE
3829,FALSE,2.6666666666666665,Legally Separated,Male,White or Other,28.333333333333332,Less than high school,FALSE
3830,FALSE,14.583333333333334,Legally Separated,Female,White or Other,19.333333333333332,High school,FALSE
3831,FALSE,2.6666666666666665,Legally Separated,Male,White or Other,26,Less than high school,TRUE
3832,FALSE,4.75,Divorced,Female,White or Other,30.25,College,TRUE
3835,FALSE,9,Divorced,Male,White or Other,21.916666666666668,Less than high school,FALSE
3836,FALSE,13.916666666666666,Divorced,Male,Black,24.166666666666668,College,FALSE
3837,TRUE,16.5,Censored,Female,White or Other,24.75,High school,FALSE
3838,FALSE,3.6666666666666665,Divorced,Female,White or Other,25.666666666666668,High school,FALSE
3839,TRUE,6.25,Censored,Male,White or Other,31.5,High school,TRUE
3840,TRUE,17.166666666666668,Censored,Male,White or Other,23.5,High school,FALSE
3847,FALSE,2.75,Divorced,Female,White or Other,31.833333333333332,High school,FALSE
3849,TRUE,11,Censored,Male,White or Other,30.083333333333332,High school,TRUE
3850,TRUE,5.75,Censored,Male,White or Other,35.583333333333336,College,FALSE
3851,FALSE,4.416666666666667,Divorced,Male,White or Other,25.166666666666668,High school,FALSE
3852,TRUE,13.583333333333334,Censored,Male,White or Other,25.75,High school,TRUE
3853,FALSE,2,Legally Separated,Female,White or Other,25.916666666666668,High school,TRUE
3855,FALSE,16.416666666666668,Widowed,Female,Black,25,High school,TRUE
3859,TRUE,3.0833333333333335,Censored,Male,Black,37.916666666666664,High school,FALSE
3860,FALSE,6.833333333333333,Divorced,Male,Black,26.083333333333332,High school,TRUE
3867,TRUE,15.916666666666666,Censored,Female,Black,25.25,High school,FALSE
3870,TRUE,20.166666666666668,Censored,Female,White or Other,21.083333333333332,High school,TRUE
3871,TRUE,18.916666666666668,Censored,Male,White or Other,22.333333333333332,Less than high school,FALSE
